The following results are for adding links using posts/add/.  When deleting links using posts/delete, response times are generally not much more than the ping time to the server.
Success-secs: 421810974.259  000.123
Success-secs: 421810975.390  001.474
Fail #1-secs: 421810980.042  018.328
Success-secs: 421810998.370  000.160
Fail #1-secs: 421811013.607  018.327
Success-secs: 421811031.934  000.223
Success-secs: 421811043.513  000.286
Success-secs: 421811057.427  001.458
Success-secs: 421811059.894  001.449
Success-secs: 421811076.416  001.515
Fail #1-secs: 421811078.940  018.333
Success-secs: 421811097.274  000.189
Success-secs: 421811112.539  001.640
Success-secs: 421811117.432  001.663
Fail #1-secs: 421811134.168  021.389
Success-secs: 421811155.558  000.266
Fail #1-secs: 421811170.900  018.447
Success-secs: 421811189.348  000.210
Success-secs: 421811198.815  001.379
Success-secs: 421811202.037  001.305
Success-secs: 421811218.418  001.386
Fail #1-secs: 421811220.818  018.427
Success-secs: 421811239.245  000.183
Fail #1-secs: 421811254.508  019.356
Success-secs: 421811273.864  000.308
Success-secs: 421811275.861  001.438
Fail #1-secs: 421811292.374  019.319
Success-secs: 421811311.694  000.160
Success-secs: 421811318.867  001.439
Success-secs: 421811335.381  001.401
Success-secs: 421811351.862  001.621
Fail #1-secs: 421811357.500  018.323
Success-secs: 421811375.823  000.173
Fail #1-secs: 421811389.961  022.499
Success-secs: 421811412.461  000.198
Success-secs: 421811417.472  000.255
Success-secs: 421811418.735  001.417
Success-secs: 421811435.227  000.474
Success-secs: 421811436.710  000.102
Success-secs: 421811442.028  000.311
Fail #1-secs: 421811457.415  018.670
Success-secs: 421811476.085  000.291
Fail #1-secs: 421811477.431  018.583
Success-secs: 421811496.014  000.173
Fail #1-secs: 421811497.494  018.371
Success-secs: 421811515.865  000.162
Success-secs: 421811531.105  000.286
Success-secs: 421811532.400  000.484
Success-secs: 421811537.412  001.388
Fail #1-secs: 421811553.877  021.384
Success-secs: 421811575.262  000.181
Success-secs: 421811590.516  001.398
Success-secs: 421811597.468  001.567
Success-secs: 421811614.108  001.413
Success-secs: 421811616.529  001.447
Success-secs: 421811633.053  001.515
Fail #1-secs: 421811649.647  029.168
Success-secs: 421811678.816  000.195
Fail #1-secs: 421811694.086  018.326
Success-secs: 421811712.414  000.200
Success-secs: 421811717.476  000.264
Success-secs: 421811718.748  000.293
Fail #1-secs: 421811720.049  018.433
Success-secs: 421811738.483  000.197
Success-secs: 421811753.755  000.132
Success-secs: 421811754.897  001.624
Fail #1-secs: 421811771.600  018.328
Success-secs: 421811789.928  000.329
Success-secs: 421811798.816  000.271
Success-secs: 421811814.162  006.870
Success-secs: 421811822.041  000.110
Success-secs: 421811823.161  001.562
Success-secs: 421811837.466  001.387
Success-secs: 421811851.105  001.567
Success-secs: 421811867.749  001.343
Success-secs: 421811884.168  001.990
Fail #1-secs: 421811897.454  025.160
Success-secs: 421811922.616  000.193
Fail #1-secs: 421811937.884  018.327
Success-secs: 421811956.212  001.376
Success-secs: 421811958.597  000.376
Fail #1-secs: 421811959.981  019.301
Success-secs: 421811979.282  000.196
Fail #1-secs: 421811994.556  021.353
Success-secs: 421812015.910  000.207
Success-secs: 421812017.631  001.381
Success-secs: 421812034.087  000.155
Success-secs: 421812035.251  000.508
Success-secs: 421812050.837  000.305
Success-secs: 421812052.151  001.426
Success-secs: 421812068.650  001.515
Success-secs: 421812077.467  001.606
Success-secs: 421812094.369  001.336
Success-secs: 421812097.023  001.366
Success-secs: 421812100.019  000.347
Fail #1-secs: 421812101.375  018.330
Success-secs: 421812119.705  000.167
Success-secs: 421812134.947  001.878
Success-secs: 421812137.833  001.325
Success-secs: 421812154.232  000.299
Success-secs: 421812155.541  000.266
Success-secs: 421812170.886  001.364
Success-secs: 421812187.325  001.724
Success-secs: 421812193.497  001.389
Success-secs: 421812195.894  000.118
Success-secs: 421812197.021  000.332
Success-secs: 421812198.361  002.361
Success-secs: 421812215.803  001.314
Fail #1-secs: 421812218.126  019.322
Success-secs: 421812237.449  000.172
Success-secs: 421812252.700  001.474
Success-secs: 421812257.426  001.356
Success-secs: 421812273.859  001.343
Success-secs: 421812290.277  001.374
Success-secs: 421812306.725  001.336
Success-secs: 421812317.466  000.500
Success-secs: 421812318.975  001.553
Success-secs: 421812335.606  001.510
Success-secs: 421812352.189  000.148
Success-secs: 421812353.346  001.327
Success-secs: 421812369.748  000.164
Fail #1-secs: 421812370.920  018.440
Success-secs: 421812389.361  000.312
Fail #1-secs: 421812404.753  018.326
Success-secs: 421812423.079  000.204
Fail #1-secs: 421812433.369  018.343
Success-secs: 421812451.712  000.248
Success-secs: 421812463.067  000.127
Success-secs: 421812478.272  001.382
Success-secs: 421812494.732  001.510
Success-secs: 421812497.365  001.334
Success-secs: 421812513.775  001.512
Success-secs: 421812530.365  001.514
Success-secs: 421812546.957  001.508
Success-secs: 421812557.469  002.056
Success-secs: 421812574.607  001.507
Success-secs: 421812591.186  000.122
Fail #1-secs: 421812592.322  018.332
Success-secs: 421812610.654  000.169
Success-secs: 421812617.471  001.649
Success-secs: 421812629.148  001.952
Fail #1-secs: 421812639.264  018.400
Success-secs: 421812657.665  000.153
Success-secs: 421812662.217  001.447
Success-secs: 421812672.320  000.559
Success-secs: 421812677.463  000.331
Success-secs: 421812678.803  001.451
Fail #1-secs: 421812681.260  018.328
Success-secs: 421812699.588  000.201
Fail #1-secs: 421812700.813  018.382
Success-secs: 421812719.196  000.206
Success-secs: 421812720.411  001.619
Success-secs: 421812725.473  001.472
Fail #1-secs: 421812732.901  018.385
Success-secs: 421812751.287  000.202
Success-secs: 421812757.031  000.377
Success-secs: 421812758.416  001.363
Fail #1-secs: 421812760.788  018.474
Success-secs: 421812779.262  000.183
Fail #1-secs: 421812780.472  019.340
Success-secs: 421812799.812  000.164
Success-secs: 421812810.984  000.301
Success-secs: 421812815.518  000.288
Fail #1-secs: 421812819.001  018.334
Success-secs: 421812837.336  000.169
Fail #1-secs: 421812839.228  018.403
Success-secs: 421812857.632  000.144
Fail #1-secs: 421812858.789  018.332
Success-secs: 421812877.121  000.204
Success-secs: 421812879.758  001.400
Success-secs: 421812882.165  001.447
Success-secs: 421812892.203  001.547
Success-secs: 421812897.394  000.296
Success-secs: 421812898.746  000.290
Success-secs: 421812900.043  001.694
Success-secs: 421812910.718  001.463
Success-secs: 421812917.303  001.330
Success-secs: 421812928.671  001.635
Success-secs: 421812938.764  001.372
Fail #1-secs: 421812948.870  018.332
Success-secs: 421812967.202  000.194
Success-secs: 421812973.519  001.637
Success-secs: 421812977.516  001.633
Success-secs: 421812988.921  001.595
Success-secs: 421812999.025  001.629
Success-secs: 421813009.118  001.365
Success-secs: 421813019.219  001.401
Success-secs: 421813029.321  002.051
Success-secs: 421813037.461  001.434
Success-secs: 421813041.495  001.551
Success-secs: 421813044.053  001.451
Success-secs: 421813046.511  001.450
Success-secs: 421813050.180  001.467
Success-secs: 421813062.654  001.590
Success-secs: 421813075.251  000.190
Fail #1-secs: 421813086.449  018.379
Success-secs: 421813104.828  000.184
Success-secs: 421813116.019  001.367
Success-secs: 421813125.568  000.115
Success-secs: 421813127.187  000.307
Success-secs: 421813128.500  001.482
Success-secs: 421813130.990  000.290
Success-secs: 421813133.888  001.623
Success-secs: 421813138.875  000.290
Success-secs: 421813141.813  001.378
Success-secs: 421813154.198  001.587
Success-secs: 421813157.465  001.395
Fail #1-secs: 421813169.868  019.318
Success-secs: 421813189.187  000.232
Success-secs: 421813200.171  001.694
Success-secs: 421813212.872  000.300
Success-secs: 421813217.483  000.111
Success-secs: 421813218.604  001.484
Fail #1-secs: 421813221.095  028.334
Success-secs: 421813249.430  000.200
Fail #1-secs: 421813258.962  018.337
Success-secs: 421813277.300  000.203
Success-secs: 421813278.515  001.376
Fail #1-secs: 421813290.913  018.517
Success-secs: 421813309.430  000.204
Success-secs: 421816080.646  001.554
Success-secs: 421816083.230  001.437
Fail #1-secs: 421816087.506  018.372
Success-secs: 421816105.879  000.236
Success-secs: 421816108.322  001.535
Success-secs: 421816119.708  001.515
Success-secs: 421816122.230  001.450
Success-secs: 421816132.907  001.525
Success-secs: 421816141.371  001.662
Success-secs: 421816152.760  001.639
Success-secs: 421816162.855  001.375
Fail #1-secs: 421816168.379  027.313
Success-secs: 421816195.693  000.207
Success-secs: 421816196.948  000.279
Success-secs: 421816198.235  001.322
Success-secs: 421816201.176  001.620
Success-secs: 421816205.076  000.322
Success-secs: 421816206.407  000.157
Success-secs: 421816207.573  000.293
Success-secs: 421816208.873  001.436
Success-secs: 421816211.317  000.321
Success-secs: 421816212.646  001.656
Success-secs: 421816218.365  001.467
Success-secs: 421816228.386  000.337
Fail #1-secs: 421816229.730  018.325
Success-secs: 421816248.055  000.170
Success-secs: 421816255.210  000.107
Success-secs: 421816261.349  000.570
Success-secs: 421816262.929  001.337
Success-secs: 421816272.712  001.493
Success-secs: 421816278.130  001.605
Fail #1-secs: 421816288.372  018.317
Success-secs: 421816306.689  000.161
Fail #1-secs: 421816316.307  018.323
Success-secs: 421816334.631  000.213
Success-secs: 421816343.405  001.454
Success-secs: 421816345.868  001.450
Success-secs: 421816348.326  001.449
Success-secs: 421816359.611  001.530
Success-secs: 421816369.706  001.577
Success-secs: 421816377.391  001.296
Fail #1-secs: 421816380.028  018.322
Success-secs: 421816398.350  000.215
Fail #1-secs: 421816407.009  018.456
Success-secs: 421816425.465  000.257
Success-secs: 421816430.013  000.116
Success-secs: 421816438.766  001.631
Success-secs: 421816441.404  001.451
Success-secs: 421816452.657  000.356
Success-secs: 421816454.020  001.429
Success-secs: 421816459.407  000.104
Fail #1-secs: 421816460.521  021.987
Success-secs: 421816482.509  000.186
Fail #1-secs: 421816492.604  018.326
Success-secs: 421816510.930  001.244
Success-secs: 421816513.184  001.554
Success-secs: 421816522.809  000.355
Success-secs: 421816528.370  001.420
Success-secs: 421816539.766  000.140
Success-secs: 421816549.860  002.048
Fail #1-secs: 421816559.930  018.338
Success-secs: 421816578.268  000.185
Success-secs: 421816582.659  000.260
Success-secs: 421816583.925  001.467
Fail #1-secs: 421816586.400  018.322
Success-secs: 421816604.723  000.220
Success-secs: 421816605.949  000.586
Fail #1-secs: 421816609.253  024.156
Success-secs: 421816633.410  000.227
Success-secs: 421816638.592  001.482
Success-secs: 421816641.080  001.451
Success-secs: 421816643.539  000.275
Success-secs: 421816644.820  002.011
Success-secs: 421816648.338  001.302
Success-secs: 421816650.648  000.327
Success-secs: 421816651.983  001.607
Fail #1-secs: 421816658.590  018.327
Success-secs: 421816676.917  000.142
Success-secs: 421816678.069  001.632
Success-secs: 421816680.708  000.119
Success-secs: 421816684.043  000.122
Success-secs: 421816685.172  001.595
Success-secs: 421816687.775  001.449
Success-secs: 421816691.326  001.586
Fail #1-secs: 421816693.926  019.387
Success-secs: 421816713.321  000.205
Success-secs: 421816720.566  000.287
Success-secs: 421816731.861  001.599
Success-secs: 421816734.468  001.452
Success-secs: 421816736.928  001.447
Success-secs: 421816739.383  001.449
Success-secs: 421816741.840  001.382
Success-secs: 421816745.564  001.413
Success-secs: 421816750.377  001.523
Success-secs: 421816755.638  001.477
Success-secs: 421816758.123  000.111
Fail #1-secs: 421816759.244  018.326
Success-secs: 421816777.570  000.232
Success-secs: 421816778.809  001.652
Success-secs: 421816781.469  000.251
Success-secs: 421816787.381  000.152
Fail #1-secs: 421816788.540  023.171
Success-secs: 421816811.711  000.238
Fail #1-secs: 421816822.958  018.387
Success-secs: 421816841.346  000.209
Success-secs: 421816844.812  000.258
Fail #1-secs: 421816854.906  028.329
Success-secs: 421816883.236  000.176
Success-secs: 421816888.363  001.300
Fail #1-secs: 421816890.995  018.475
Success-secs: 421816909.471  000.173
Fail #1-secs: 421816930.653  018.340
Success-secs: 421816948.993  000.239
Fail #1-secs: 421816950.240  018.325
Success-secs: 421816968.566  000.180
Fail #1-secs: 421816969.755  025.258
Success-secs: 421816995.013  000.187
Fail #1-secs: 421817016.209  019.328
Success-secs: 421817035.538  000.192
Success-secs: 421817056.737  000.304
Success-secs: 421817078.049  000.696
Success-secs: 421817081.422  001.316
Fail #1-secs: 421817083.747  020.168
Success-secs: 421817103.916  000.201
Fail #1-secs: 421817124.010  038.427
Success-secs: 421817162.437  000.268
Fail #1-secs: 421817183.714  019.613
Success-secs: 421817203.328  000.177
Success-secs: 421818126.202  001.476
Success-secs: 421818128.685  000.299
Success-secs: 421818129.991  000.349
Fail #1-secs: 421818131.349  018.383
Success-secs: 421818149.733  000.228
Success-secs: 421818150.968  000.280
Fail #1-secs: 421818152.256  018.320
Success-secs: 421818170.577  000.168
Success-secs: 421818174.347  000.138
Success-secs: 421818175.493  001.505
Success-secs: 421818181.347  000.152
Fail #1-secs: 421818182.506  018.453
Success-secs: 421818200.959  000.226
Fail #1-secs: 421818202.194  024.012
Success-secs: 421818226.206  000.204
Success-secs: 421818232.442  000.329
Success-secs: 421818241.349  001.315
Success-secs: 421818250.282  001.402
Fail #1-secs: 421818262.692  028.324
Success-secs: 421818291.017  000.172
Fail #1-secs: 421818301.335  019.313
Success-secs: 421818320.648  000.326
Success-secs: 421818331.981  001.307
Fail #1-secs: 421818344.297  018.332
Success-secs: 421818362.633  000.180
Fail #1-secs: 421818363.842  018.326
Success-secs: 421818382.169  000.199
Success-secs: 421818388.453  001.469
Success-secs: 421818400.929  000.315
Success-secs: 421818409.607  001.353
Success-secs: 421818411.974  001.280
Fail #1-secs: 421818414.261  019.319
Success-secs: 421818433.582  000.382
Success-secs: 421818441.490  000.363
Success-secs: 421818442.899  001.395
Fail #1-secs: 421818445.301  020.391
Success-secs: 421818465.693  000.210
Success-secs: 421818476.341  001.437
Success-secs: 421818481.065  000.290
Success-secs: 421818482.363  000.910
Success-secs: 421818490.039  000.335
Success-secs: 421818491.384  002.676
Fail #1-secs: 421818496.162  018.319
Success-secs: 421818514.481  000.251
Fail #1-secs: 421818517.685  018.324
Success-secs: 421818536.009  000.188
Success-secs: 421818541.070  000.604
Success-secs: 421818542.681  000.252
Success-secs: 421818543.940  000.309
Success-secs: 421818550.039  000.115
Success-secs: 421818551.163  001.362
Fail #1-secs: 421818559.818  018.328
Success-secs: 421818578.147  000.204
Success-secs: 421818589.359  000.434
Success-secs: 421818592.445  001.234
Success-secs: 421818594.685  001.310
Success-secs: 421818597.002  001.392
Success-secs: 421818599.401  001.452
Success-secs: 421818601.860  000.529
Success-secs: 421818603.395  001.352
Fail #1-secs: 421818605.757  028.325
Success-secs: 421818634.082  000.156
Success-secs: 421818645.245  001.379
Success-secs: 421818647.630  000.344
Success-secs: 421818656.307  000.114
Success-secs: 421818657.428  000.134
Success-secs: 421818658.570  001.472
Success-secs: 421818661.048  000.431
Success-secs: 421818662.486  000.310
Success-secs: 421818663.802  001.364
Success-secs: 421818666.173  001.450
Success-secs: 421818668.631  001.340
Success-secs: 421818670.977  001.353
Success-secs: 421818681.591  001.345
Success-secs: 421818689.056  000.125
Fail #1-secs: 421818690.908  018.328
Success-secs: 421818709.237  000.196
Fail #1-secs: 421818720.440  018.324
Success-secs: 421818738.765  000.221
Success-secs: 421818739.994  000.100
Fail #1-secs: 421818741.100  028.415
Success-secs: 421818769.516  000.214
Success-secs: 421818780.738  001.057
Success-secs: 421818782.802  001.283
Success-secs: 421818787.291  001.367
Success-secs: 421818790.028  001.396
Fail #1-secs: 421818801.450  028.328
Success-secs: 421818829.779  000.239
Success-secs: 421818834.269  000.357
Success-secs: 421818835.634  001.359
Success-secs: 421818838.001  001.443
Fail #1-secs: 421818840.455  028.393
Success-secs: 421818868.848  000.298
Success-secs: 421818880.156  001.581
Success-secs: 421818892.745  001.588
Fail #1-secs: 421818901.078  018.319
Success-secs: 421818919.397  000.222
Success-secs: 421818920.630  001.448
Success-secs: 421818923.085  000.105
Success-secs: 421818924.197  000.243
Success-secs: 421818933.648  001.541
Success-secs: 421818936.196  001.451
Success-secs: 421818948.658  000.273
Success-secs: 421818959.940  000.309
Success-secs: 421818961.259  000.754
Success-secs: 421818963.022  001.659
Success-secs: 421818970.057  001.479
Success-secs: 421818982.543  001.337
Success-secs: 421818994.890  000.128
Success-secs: 421819001.545  001.534
Success-secs: 421819011.637  001.370
Success-secs: 421819021.072  001.402
Success-secs: 421819023.877  001.267
Success-secs: 421819026.608  001.390
Success-secs: 421819029.005  000.317
Success-secs: 421819030.329  001.416
Success-secs: 421819041.395  001.619
Fail #1-secs: 421819051.488  028.375
Success-secs: 421819079.864  000.264
Success-secs: 421819081.136  000.123
Fail #1-secs: 421819082.266  023.037
Success-secs: 421819105.303  000.219
Success-secs: 421819106.530  001.302
Success-secs: 421819118.840  001.378
Success-secs: 421819122.166  001.357
Success-secs: 421819124.530  001.425
Success-secs: 421819136.965  000.456
Success-secs: 421819140.316  001.405
Success-secs: 421819142.731  001.350
Success-secs: 421819150.050  001.403
Fail #1-secs: 421819161.942  018.325
Success-secs: 421819180.268  000.174
Success-secs: 421819185.356  001.303
Success-secs: 421819187.674  001.354
Success-secs: 421819190.040  001.446
Success-secs: 421819192.773  000.483
Fail #1-secs: 421819194.265  019.431
Success-secs: 421819213.697  000.194
Success-secs: 421819224.898  001.509
Success-secs: 421819231.494  001.365
Success-secs: 421819241.589  000.373
Fail #1-secs: 421819252.973  018.326
Success-secs: 421819271.299  000.192
Fail #1-secs: 421819282.499  018.565
Success-secs: 421819301.065  000.261
Fail #1-secs: 421819312.335  018.729
Success-secs: 421819331.065  000.207
Success-secs: 421819342.280  001.477
Success-secs: 421819354.765  001.377
Fail #1-secs: 421819367.150  018.388
Success-secs: 421819385.539  000.198
Success-secs: 421819390.050  000.358
Success-secs: 421819391.417  001.490
Success-secs: 421819403.915  000.365
Success-secs: 421819409.102  001.621
Success-secs: 421819411.740  000.520
Success-secs: 421819413.267  000.257
Success-secs: 421819415.542  001.423
Success-secs: 421819418.313  001.321
Success-secs: 421819420.656  001.341
Success-secs: 421819423.004  001.353
Success-secs: 421819425.368  001.337
Success-secs: 421819427.711  001.498
Success-secs: 421819430.215  001.314
Success-secs: 421819432.538  000.262
Fail #1-secs: 421819435.916  019.313
Success-secs: 421819455.230  000.161
Success-secs: 421819466.400  001.463
Success-secs: 421819471.797  000.109
Success-secs: 421819481.890  001.332
Success-secs: 421819494.230  001.378
Success-secs: 421819501.356  000.604
Fail #1-secs: 421819502.969  018.327
Success-secs: 421819521.296  000.198
Success-secs: 421819532.502  001.406
Success-secs: 421819544.917  000.280
Success-secs: 421819556.205  000.381
Success-secs: 421819561.097  001.689
Success-secs: 421819569.902  001.486
Success-secs: 421819582.398  000.365
Success-secs: 421819586.566  000.487
Success-secs: 421819588.062  001.448
Fail #1-secs: 421819596.586  018.318
Success-secs: 421819614.904  000.244
Success-secs: 421819616.584  000.299
Success-secs: 421819617.892  001.418
Success-secs: 421819621.083  001.396
Success-secs: 421819626.004  000.293
Success-secs: 421819627.304  001.534
Fail #1-secs: 421819630.053  018.320
Success-secs: 421819648.374  000.158
Success-secs: 421819651.243  001.550
Success-secs: 421819653.802  000.281
Success-secs: 421819655.091  000.290
Success-secs: 421819658.110  001.441
Success-secs: 421819664.178  001.288
Success-secs: 421819666.474  000.268
Success-secs: 421819667.749  001.631
Success-secs: 421819676.574  000.342
Success-secs: 421819677.925  000.464
Success-secs: 421819681.070  001.521
Success-secs: 421819686.593  001.834
Success-secs: 421819690.039  001.461
Fail #1-secs: 421819696.591  018.324
Success-secs: 421819714.917  000.155
Success-secs: 421819716.579  001.436
Success-secs: 421819727.952  001.640
Success-secs: 421819730.598  001.450
Fail #1-secs: 421819739.029  019.328
Success-secs: 421819758.358  000.169
Success-secs: 421819761.130  001.330
Success-secs: 421819771.145  001.453
Success-secs: 421819781.132  000.229
Success-secs: 421819782.370  001.387
Success-secs: 421819791.132  001.435
Success-secs: 421819801.084  001.618
Fail #1-secs: 421819803.710  018.445
Success-secs: 421819822.155  000.211
Success-secs: 421819823.374  001.446
Success-secs: 421819832.169  000.122
Success-secs: 421819833.298  001.452
Success-secs: 421819842.171  001.389
Success-secs: 421819852.169  001.528
Success-secs: 421819861.068  001.443
Success-secs: 421819863.526  000.616
Success-secs: 421819870.039  001.475
Success-secs: 421819872.526  001.444
Success-secs: 421819881.074  001.302
